anio,E,I,X_fija,X,K,K_patentes,A,Dp,conexion,G_mundo,P
2004,123841.742,70720.0,18.6944667300187,,1324893.83591593,966600.0,3.65126921677072,3.1435973825971604,13.91160987096476,4.49537859755031,0.0
2005,127936.719,280600.0,19.1,33.9,1484401.42391517,1038800.0,3.6530775666879802,3.1655500541319403,15.605492190380605,4.0591513939051,0.0
2006,131481.203,280600.0,19.2,41.7,1570080.86139205,1075200.0,3.65469168011106,3.1898897180713397,17.271628987964725,4.48913510541222,0.0
2007,135617.984,478200.0,18.8,50.6,1636695.52060804,1125000.0,3.65691201606802,3.2267310749871605,20.216213382609446,4.43123376835285,0.0
2008,137229.406,1105000.0,18.5,59.7,1725502.0945321,1162200.0,3.6565463282954203,3.23498948154929,22.813648619219556,2.0916044806491,1.0
2009,135033.219,1759000.0,18.4,68.0,1827111.00620426,1146400.0,3.6575823676644803,3.26952269206753,25.344187183241445,-1.33303814192499,0.0
2010,141602.047,2566000.0,17.8,76.6,1909442.19283406,1236900.0,3.6572725945209097,3.28534956257458,28.576088643639913,4.52085213873784,0.0
2011,144913.297,10510000.0,17.2,84.2,2003515.26920193,1365200.0,3.67244216365451,3.30615128581881,30.973944200628367,3.31431839310667,0.0
2012,147002.422,17590000.0,16.7,88.5,2062566.08557863,1519700.0,3.69701107764139,3.3210797034645196,33.412627866382046,2.74743359443485,0.0
2013,149599.734,33862700.0,16.0,93.1,2125847.59563208,1708700.0,3.72844994980794,3.33177789649855,35.404339216297956,2.88974765617324,0.0
2014,151239.172,33862700.0,15.1,96.7,2195343.61038091,1799200.0,3.7750870311787303,3.35593022247705,37.533362061049075,3.16849193058366,0.0
2015,152357.625,33862700.0,14.1,96.1,2252543.20994293,1972500.0,3.83425332747378,3.3720872579579,39.82823914852184,3.12721325699906,0.0
2016,154221.484,93014590.0,13.4,99.3,2336756.55050175,2215100.0,3.89081346281288,3.40178589924402,42.85211239626485,2.78974074234593,0.0
2017,157625.312,93014590.0,13.0,101.4,2425390.12790655,2251400.0,3.9504488756411598,3.4207237136838904,45.64731459501229,3.44658623167955,0.0
2018,161806.125,143500000.0,12.4,103.1,2522113.1141451,2386300.0,4.008890534864229,3.43815548148513,49.69011376485714,3.28663086462807,0.0
2019,163694.609,148600000.0,11.9,105.9,2708530.72191524,2239200.0,4.07270975182083,3.4606202944738698,52.79644339670084,2.680308747553,0.0
2020,157993.891,442010000.0,11.5,104.8,2868012.70901148,2311500.0,4.93837786103644,4.03654731369062,58.95859291383746,-2.88621185457086,1.0
2021,166043.5,442010000.0,11.2,106.7,3111012.81829436,2385200.0,5.041423209393,4.07596216180809,63.72209894202221,6.48508887596752,0.0
2022,169061.531,1102000000.0,10.9,108.0,3220952.46126375,,5.24445596766292,4.05074544406117,66.81515940703015,3.44001097265647,0.0
2023,172238.781,1194000000.0,10.6,109.8,3271296.24439727,,6.00970900679137,4.12225224561309,71.30401889293384,2.85938493335973,0.0
2024,176737.094,1742000000.0,10.2,110.4,,,,,72.66791693563373,2.90001340156714,0.0
2025,,1809000000.0,9.9,111.5,,,,,,2.92127318539153,0.0
